source_dataset,source_version,session_id,window_id,window_start_seconds,window_end_seconds,sampling_interval_seconds,throughput_mean,throughput_median,throughput_min,throughput_max,throughput_std,throughput_p10,throughput_p25,throughput_first,throughput_last,throughput_change,throughput_slope,throughput_coefficient_variation,measurements_count,lookback_duration_seconds,proportion_below_low,proportion_below_medium,proportion_below_high,current_profile,required_capacity_mbps,throughput_p75,future_window_start_seconds,future_window_end_seconds,future_measurements_count,future_throughput_mean,future_throughput_p25,future_rebuffer_event,future_below_required_fraction,future_quality_decrease,target,target_code,quality_format_at_window_end,target_trigger_rebuffer,target_trigger_p25,target_trigger_fraction,target_trigger_quality_decrease,throughput_source
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000140,140.0,740.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,740.0,1340.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000150,150.0,750.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,750.0,1350.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000160,160.0,760.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,760.0,1360.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000170,170.0,770.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,770.0,1370.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000180,180.0,780.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,780.0,1380.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000190,190.0,790.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,790.0,1390.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000200,200.0,800.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,800.0,1400.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000210,210.0,810.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,810.0,1410.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000220,220.0,820.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,820.0,1420.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000230,230.0,830.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,830.0,1430.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000240,240.0,840.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,840.0,1440.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000250,250.0,850.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,850.0,1450.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000260,260.0,860.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,860.0,1460.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000270,270.0,870.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,870.0,1470.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000280,280.0,880.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,880.0,1480.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000290,290.0,890.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,890.0,1490.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000300,300.0,900.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,900.0,1500.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000310,310.0,910.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,910.0,1510.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000320,320.0,920.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,920.0,1520.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000330,330.0,930.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,930.0,1530.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000340,340.0,940.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,940.0,1540.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000350,350.0,950.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,950.0,1550.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000360,360.0,960.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,960.0,1560.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000370,370.0,970.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,970.0,1570.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000380,380.0,980.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,980.0,1580.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000390,390.0,990.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,990.0,1590.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000400,400.0,1000.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,1000.0,1600.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4191,run_4191_w000410,410.0,1010.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,1010.0,1610.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4196,run_4196_w000000,0.0,600.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,600.0,1200.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4196,run_4196_w000010,10.0,610.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,610.0,1210.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4196,run_4196_w000020,20.0,620.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,620.0,1220.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4196,run_4196_w000030,30.0,630.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,630.0,1230.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4196,run_4196_w000040,40.0,640.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,640.0,1240.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
youtube_mobile_streaming_figshare,2,run_4196,run_4196_w000050,50.0,650.0,1.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,8.975707862039045e-18,0.0,600,600.0,0.0,0.0,0.0,2,3.375,25.0,650.0,1250.0,600,25.0,25.0,False,0.0,False,maintain,0,247,False,False,False,False,bw_settings capacity proxy (kbit/s converted to Mbps)
